section,tier,status,title,h1,last_updated,url,headings,final_url,error
appearance,core,200,Google,Enabling your ad network to work with translation-related Google Search features,,https://developers.google.com/search/docs/appearance/ad-network-and-translation?hl=en,Our approach | Convert the Google Translate URL to the original URL | Sample JavaScript code for decoding the hostname from a Google Translate URL | Reconstruct the URL | Test your code | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/ad-network-and-translation?hl=en,
appearance,core,200,Google,AI features and your website,,https://developers.google.com/search/docs/appearance/ai-features?hl=en,How AI features work in Search | How to appear in AI features | Technical requirements for appearing in AI features | SEO best practices | Measuring the performance of your site | Controlling your content in AI features in Search | Troubleshooting preview controls | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/ai-features?hl=en,
appearance,core,200,Google,Avoid intrusive interstitials and dialogs,,https://developers.google.com/search/docs/appearance/avoid-intrusive-interstitials?hl=en,Create unintrusive dialogs | Use banners instead of interstitials | Use common libraries | Avoid common mistakes | Mandatory interstitials | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/avoid-intrusive-interstitials?hl=en,
appearance,core,200,Google,Google Search's core updates and your website,,https://developers.google.com/search/docs/appearance/core-updates?hl=en,How core updates work | Check if there's a traffic drop in Search Console | Assessing a large drop in position | Things to keep in mind when making changes | How long does it take to see an effect in Search results | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/core-updates?hl=en,
appearance,core,200,Google,Understanding Core Web Vitals and Google search results,,https://developers.google.com/search/docs/appearance/core-web-vitals?hl=en,Core Web Vitals metrics | Optimizing your Core Web Vitals | Recent updates on our blog | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/core-web-vitals?hl=en,
appearance,core,200,Google,Enable Web Stories on Google,,https://developers.google.com/search/docs/appearance/enable-web-stories?hl=en,Feature availability | Create the Web Story | Make sure the Web Story is valid AMP | Verify metadata | Check if the Web Story is indexed | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/enable-web-stories?hl=en,
appearance,core,200,Google,Enriched search results,,https://developers.google.com/search/docs/appearance/enriched-search-results?hl=en,Implementing enriched search | Enriched search types | Enriched search quality guidelines | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/enriched-search-results?hl=en,
appearance,core,200,Google,Establish your business details with Google,,https://developers.google.com/search/docs/appearance/establish-business-details?hl=en,Claim your local business | Register your website with Search Console | Update your site's Google knowledge panel | Add structured data | Highlight your customer support methods | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/establish-business-details?hl=en,
appearance,core,200,An illustration that shows how favicon may look like in a search result.,Define a favicon to show in search results,,https://developers.google.com/search/docs/appearance/favicon-in-search?hl=en,Implementation | Guidelines | Submit feedback about favicons in search results | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/favicon-in-search?hl=en,
appearance,core,200,An illustration of a featured snippet in search results,Featured snippets and your website,,https://developers.google.com/search/docs/appearance/featured-snippets?hl=en,How can I opt out of featured snippets? | Block all snippets | Block featured snippets only | How can I mark my page as a featured snippet? | What happens when a user clicks a featured snippet? | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/featured-snippets?hl=en,
appearance,conditional,200,Google,Flexible Sampling general guidance,,https://developers.google.com/search/docs/appearance/flexible-sampling?hl=en,Metering | How much content? | Lead-in | Making Changes | How to indicate paywalled content | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/flexible-sampling?hl=en,
appearance,core,200,Google,Discover and your website,,https://developers.google.com/search/docs/appearance/google-discover?hl=en,How content appears in Discover | Why Discover traffic might change over time | Monitor your performance on Discover | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/google-discover?hl=en,
appearance,core,200,Google,Google image SEO best practices,,https://developers.google.com/search/docs/appearance/google-images?hl=en,"Help us discover and index your images | Use HTML image elements to embed images | Use an image sitemap | Responsive images | Use supported image formats | Optimize for speed and quality | Optimize the image landing pages | Specify a preferred image with metadata | Check your page title and description | Add structured data | Use descriptive filenames, titles, and alt text | Opt out of Google Images inline linking | Optimize for SafeSearch | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/google-images?hl=en,
appearance,conditional,200,Google,Package tracking Early Adopters Program,,https://developers.google.com/search/docs/appearance/package-tracking?hl=en,Feature availability | Availability and responsiveness | Content | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/package-tracking?hl=en,
appearance,core,200,Google,Understanding page experience in Google Search results,,https://developers.google.com/search/docs/appearance/page-experience?hl=en,"Self-assess your content's page experience | Page experience resources | FAQ | Is there a single ""page experience signal"" that Google Search uses for ranking? | What aspects of page experience are used in ranking? | Is page experience evaluated on a site-wide or page-specific basis? | How important is page experience to ranking success? | Recent updates on our blog | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/page-experience?hl=en,
appearance,core,200,Google,Help your readers find your site through preferred sources in Google Search,,https://developers.google.com/search/docs/appearance/preferred-sources?hl=en,Feature availability | How to help users find your site as a preferred source | Standard JavaScript implementation (recommended) | Advanced JavaScript implementation with custom design assets | Deeplink implementation | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/preferred-sources?hl=en,
appearance,core,200,"An illustration of a text result in Google Search, with a highlighted box around the byline date part",Influence your byline dates in Google Search,,https://developers.google.com/search/docs/appearance/publication-dates?hl=en,How to provide date information to Google | Best practices for influencing byline dates | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/publication-dates?hl=en,
appearance,core,200,Google,A guide to Google Search ranking systems,,https://developers.google.com/search/docs/appearance/ranking-systems-guide?hl=en,BERT | Crisis information systems | Deduplication systems | Exact match domain system | Freshness systems | Link analysis systems and PageRank | Local news systems | MUM | Neural matching | Original content systems | Removal-based demotion systems | Passage ranking system | RankBrain | Reliable information systems | Reviews system | Site diversity system | Spam detection systems | Retired systems | Helpful content system | Hummingbird | Panda system | Penguin system | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/ranking-systems-guide?hl=en,
appearance,core,200,Google,Google Search's reviews system and your website,,https://developers.google.com/search/docs/appearance/reviews-system?hl=en,How the reviews system works | What does this system mean for my site? | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/reviews-system?hl=en,
appearance,core,200,"An illustration of a text result in Google Search, with a highlighted box around the site name part",Provide a site name to Google Search,,https://developers.google.com/search/docs/appearance/site-names?hl=en,Feature availability | How site names in Google Search are created | Choosing your site name | How to add a site name with structured data | Follow the guidelines | Add required site name properties | Add an alternative site name | Test structured data | What to do if your preferred site name isn't selected | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/site-names?hl=en,
appearance,core,200,An illustration of sitelinks in Google Search,Sitelinks,,https://developers.google.com/search/docs/appearance/sitelinks?hl=en,Sitelinks best practices | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/sitelinks?hl=en,
appearance,core,200,"An illustration of a text result in Google Search, with a highlighted box around the snippet part",Control your snippets in search results,,https://developers.google.com/search/docs/appearance/snippet?hl=en,"How snippets are created | How to prevent snippets or adjust snippet length | Best practices for creating quality meta descriptions | Create unique descriptions for each page on your site | Include relevant information about the content in the description | Programmatically generate descriptions | Use quality descriptions | Best practices for ""Read more"" deep links in Google Search | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/snippet?hl=en,
appearance,core,200,Google,Google Search spam updates and your site,,https://developers.google.com/search/docs/appearance/spam-updates?hl=en,Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/spam-updates?hl=en,
appearance,conditional,200,Google,"Article ( Article , NewsArticle , BlogPosting ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/article?hl=en,Example | How to add structured data | Guidelines | Technical guidelines | Structured data type definitions | Article objects | Author markup best practices | Include all authors in the markup | Specifying multiple authors | Use additional fields | Only specify the author's name in the author.name property | Use the appropriate Type | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/article?hl=en,
appearance,conditional,200,Google,Book actions ( Book ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/book?hl=en,"Get started | Guidelines | Works and editions | Library systems and library members | ISBN and other supported identifiers | Links | Create your feed | Adhere to feed file size, quantity, and format requirements | Adhere to feed content requirements | Test your feed with the Data Feed validation tool | Host your feed file | Host methods | Submit your feed file for review | Update your feed as needed | Structured data type definitions | DataFeed entity | Book entity | Person or Organization ( author ) | PropertyValue (identifier) | Example ReadAction Book feed JSON file | Example BorrowAction Book feed JSON file | ReadAction ( potentialAction ) | BorrowAction ( potentialAction ) | Library entity | Example LibrarySystem feed JSON file | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/structured-data/book?hl=en,
appearance,conditional,200,Google,Breadcrumb ( BreadcrumbList ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/breadcrumb?hl=en,Feature availability | How to add structured data | Examples | Single breadcrumb trail | JSON-LD | RDFa | Microdata | HTML | Multiple breadcrumb trail | Guidelines | Structured data type definitions | BreadcrumbList | ListItem | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/breadcrumb?hl=en,
appearance,conditional,200,Google,Carousel ( ItemList ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/carousel?hl=en,"Add structured data | Summary page and multiple detail pages | Single, all-in-one-page list | Guidelines | Validate and deploy structured data | Structured data type definitions | ItemList | ListItem | Troubleshooting | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/structured-data/carousel?hl=en,
appearance,conditional,200,Google,Structured data carousels (beta),,https://developers.google.com/search/docs/appearance/structured-data/carousels-beta?hl=en,"Feature availability | Add structured data | Guidelines | Examples | Structured data type definitions | ItemList | Common list item properties ( LocalBusiness , Product, or Event ) | Additional type-specific properties definitions | Examples for common scenarios | Restaurant example | Lodging ( Hotels and VacationRental ) example | Things to do example example | Product example | Troubleshooting | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/structured-data/carousels-beta?hl=en,
appearance,conditional,200,Google,Course list ( Course ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/course?hl=en,"Feature availability | How to add structured data | Examples | Single course details page | Single, all-in-one page | Guidelines | Content guidelines | Technical guidelines | Structured data type definitions | Course | ItemList | Troubleshooting | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/structured-data/course?hl=en,
appearance,conditional,200,Google,"Dataset ( Dataset , DataCatalog , DataDownload ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/dataset?hl=en,How to add structured data | Deleting a dataset from Dataset Search results | Our approach to dataset discovery | Examples | Guidelines | Sitemap best practices | Source and provenance best practices | Textual property recommendations | Known Errors and Warnings | Structured data type definitions | Dataset | DataCatalog | DataDownload | Tabular datasets | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Specific dataset isn't showing up in Dataset Search results | Company logo is missing or not appearing correctly by results | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/dataset?hl=en,
appearance,conditional,200,Google,Discussion forum ( DiscussionForumPosting ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/discussion-forum?hl=en,How to use DiscussionForumPosting within a forum | How to add structured data | Examples | Guidelines | Content guidelines | Technical guidelines | Structured data type definitions | DiscussionForumPosting (or SocialMediaPosting ) | author | author.name | datePublished | author.url | headline | sharedContent | url | Comment | InteractionCounter | userInteractionCount | interactionType | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/discussion-forum?hl=en,
appearance,conditional,200,Google,"Education Q&A ( Quiz , Question , and Answer ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/education-qa?hl=en,Feature availability | How to add structured data | Examples | Guidelines | Technical guidelines | Content guidelines | Mark up educational standards | Structured data type definitions | Quiz | Question | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/education-qa?hl=en,
appearance,conditional,200,Google,Employer aggregate rating ( EmployerAggregateRating ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/employer-rating?hl=en,Example | How to add structured data | Guidelines | Technical guidelines | Content guidelines | Structured data type definitions | EmployerAggregateRating | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/employer-rating?hl=en,
appearance,conditional,200,Google,Event ( Event ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/event?hl=en,How to add structured data | Examples | Standard event | Event with an updated status | Region and language availability | Guidelines | Technical guidelines | Content guidelines | Date and time guidelines | Structured data type definitions | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Event location is missing or incorrect | My site isn't showing up as an option for purchasing tickets | Time or date is incorrect | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/event?hl=en,
appearance,conditional,200,Google,Fact check ( ClaimReview ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/factcheck?hl=en,How to add structured data | Example | Eligibility guidelines | Technical guidelines | Structured data type definitions | ClaimReview | Claim | Rating | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/factcheck?hl=en,
appearance,conditional,200,Google,Generate structured data with JavaScript,,https://developers.google.com/search/docs/appearance/structured-data/generate-structured-data-with-javascript?hl=en,Use Google Tag Manager to generate JSON-LD dynamically | Using variables in Google Tag Manager | Generate structured data with custom JavaScript | Using server-side rendering | Test your implementation | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/generate-structured-data-with-javascript?hl=en,
appearance,conditional,200,Google,Image metadata in Google Images,,https://developers.google.com/search/docs/appearance/structured-data/image-license-metadata?hl=en,Feature availability | Prepare your web pages and images | Add structured data or IPTC photo metadata | Structured data | JSON-LD | RDFa | Microdata | IPTC photo metadata | How C2PA metadata can appear in Google Search results | Troubleshooting | Is it okay to remove image metadata? | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/image-license-metadata?hl=en,
appearance,conditional,200,Google,Introduction to structured data markup in Google Search,,https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data?hl=en,Why add structured data to a page? | How structured data works in Google Search | Structured data vocabulary and format | Supported formats | Structured data guidelines | Get started with structured data | Measuring the effect of structured data | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data?hl=en,
appearance,conditional,200,Google,Job posting ( JobPosting ) structured data for Job Search,,https://developers.google.com/search/docs/appearance/structured-data/job-posting?hl=en,How to add structured data | Examples | Standard job posting | Work from home job posting | Remove a job posting | Mark up work from home jobs | Update your company logo | Technical guidelines | Job posting content policies | Irrelevant content | Incomplete content | Misrepresentation | Profanity and vulgar language | Advertisements disguised as a job posting | Legal removal requests | Expired job postings | Jobs without a way to apply | Resume collection | Job requests | Payment required | Editorial content | Structured data type definitions | JobPosting | Education and experience properties (beta) | Troubleshooting | Structured data is on the wrong page | Content doesn't match the structured data | Expired jobs are still live | Apply option is missing | Logo is incorrect | Job location is missing or incorrect | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Use custom UTM parameters in Google Analytics | Region availability | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/job-posting?hl=en,
appearance,conditional,200,Google,Local business ( LocalBusiness ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/local-business?hl=en,How to add structured data | Examples | Simple local business listing | Restaurant carousel (limited access) | Business hours | Multiple departments | Guidelines | Structured data type definitions | LocalBusiness | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/local-business?hl=en,
appearance,conditional,200,Google,Loyalty program ( MemberProgram ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/loyalty-program?hl=en,Feature availability | How to add structured data | Examples | Guidelines | Technical guidelines | Structured data type definitions | MemberProgram | Using Merchant Center to configure loyalty programs with Google | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/loyalty-program?hl=en,
appearance,conditional,200,Google,Math solver ( MathSolver ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/math-solvers?hl=en,How to add structured data | Examples | One solver action | Two solver actions | Guidelines | Technical Guidelines | Content guidelines | Structured data type definitions | MathSolver | LearningResource | Problem Type Definitions | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/math-solvers?hl=en,
appearance,conditional,200,Google,"Merchant listing ( Product , Offer ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/merchant-listing?hl=en,How to add structured data | Examples | Product page with an offer | Pricing | Active price | Sale pricing | Sale duration | Member prices | Pricing with unit pricing measures | Shipping details | Free shipping | Return details | Certifications | 3D model | Guidelines | Technical guidelines | Content guidelines | Structured data type definitions | Product information | Offer details | Shipping | Returns | Alternative approaches to configuring shipping and return settings with Google | Combining multiple shipping and return configurations | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/merchant-listing?hl=en,
appearance,conditional,200,Google,Movie carousel ( Movie ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/movie?hl=en,"How to add structured data | Examples | Summary page + multiple full details pages | Single, all-in-one-page list | Guidelines | Structured data type definitions | Movie | aggregateRating | review | Troubleshooting | Get support | Resources | Tools",https://developers.google.com/search/docs/appearance/structured-data/movie?hl=en,
appearance,conditional,200,Google,Organization ( Organization ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/organization?hl=en,How to add structured data | Examples | Organization | OnlineStore (subtype of Organization ) with a shipping policy and return policy | Guidelines | Technical guidelines | Structured data type definitions | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/organization?hl=en,
appearance,conditional,200,Google,Structured data for subscription and paywalled content ( CreativeWork ),,https://developers.google.com/search/docs/appearance/structured-data/paywalled-content?hl=en,Example | Guidelines | Add markup to paywalled content | Multiple paywalled sections | Supported types | AMP considerations | Generative AI in Search considerations | Make sure Google can crawl and index your pages | Control what information is shown in search results | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/paywalled-content?hl=en,
appearance,conditional,200,Google,"Product snippet ( Product , Review , Offer ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/product-snippet?hl=en,How to add structured data | Examples | Product review page | Pros and cons | Shopping aggregator page | Guidelines | Technical guidelines | Content guidelines | Structured data type definitions | Product | Product Reviews | Offer details | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/product-snippet?hl=en,
appearance,conditional,200,Google,"Product variant structured data ( ProductGroup , Product )",,https://developers.google.com/search/docs/appearance/structured-data/product-variants?hl=en,How to add structured data | Examples | Single-page website | Multi-page website | Page 1: Light blue variants | Page 2: Green variant | Guidelines | Technical guidelines | Structured data type definitions | ProductGroup | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/product-variants?hl=en,
appearance,conditional,200,Google,Introduction to Product structured data,,https://developers.google.com/search/docs/appearance/structured-data/product?hl=en,Deciding which markup to use | How shopping experiences can appear on Google Search | Result enhancements | Providing product data to Google Search | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/product?hl=en,
appearance,conditional,200,Google,Profile page ( ProfilePage ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/profile-page?hl=en,How to add structured data | Examples | Guidelines | Content guidelines | Technical guidelines | Structured data type definitions | ProfilePage | Person or Organization | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/profile-page?hl=en,
appearance,conditional,200,Google,Q&A ( QAPage ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/qapage?hl=en,How to add structured data | Examples | Guidelines | Content guidelines | Structured data type definitions | QAPage | mainEntity | Question | answerCount | acceptedAnswer | suggestedAnswer | name | author | author.url | text | upvoteCount | Answer | url | Comment | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/qapage?hl=en,
appearance,conditional,200,Google,"Recipe ( Recipe , HowTo , ItemList ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/recipe?hl=en,How to add structured data | Examples | Recipe on Search | Carousel | Guidelines | Structured data type definitions | Recipe | HowToSection | HowToStep | HowToDirection and HowToTip | ItemList | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/recipe?hl=en,
appearance,conditional,200,Google,Merchant return policy ( MerchantReturnPolicy ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/return-policy?hl=en,How to add structured data | Examples | Guidelines | Technical guidelines | Structured data type definitions | MerchantReturnPolicy (nested under Organization using the hasMerchantReturnPolicy property) | Alternative approach to configuring return settings with Google | Combining multiple return configurations | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/return-policy?hl=en,
appearance,conditional,200,Google,"Review snippet ( Review , AggregateRating ) structured data",,https://developers.google.com/search/docs/appearance/structured-data/review-snippet?hl=en,How to add structured data | Examples | Simple review | JSON-LD | RDFa | Microdata | Nested review | Aggregate rating | Nested aggregate rating | Guidelines | Technical guidelines | Structured data type definitions | Review | AggregateRating | Monitor rich results with Search Console | After deploying structured data for the first time | After releasing new templates or updating your code | Analyzing traffic periodically | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/review-snippet?hl=en,
appearance,conditional,200,Google,General structured data guidelines,,https://developers.google.com/search/docs/appearance/structured-data/sd-policies?hl=en,Technical guidelines | Format | Access | Quality guidelines | Content | Relevance | Completeness | Location | Specificity | Images | Multiple items on a page | Nesting | Individual items | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/sd-policies?hl=en,
appearance,conditional,200,Google,Structured data markup that Google Search supports,,https://developers.google.com/search/docs/appearance/structured-data/search-gallery?hl=en,Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/search-gallery?hl=en,
appearance,conditional,200,Google,Merchant shipping policy ( ShippingService ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/shipping-policy?hl=en,How to add structured data | Examples | Guidelines | Technical guidelines | Structured data type definitions | ShippingService (nested under Organization using the hasShippingService property) | ShippingConditions (nested under ShippingService using the shippingConditions property) | Alternative approach to configuring shipping settings with Google | Combining multiple shipping configurations | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/shipping-policy?hl=en,
appearance,conditional,200,Google,Software app ( SoftwareApplication ) structured data,,https://developers.google.com/search/docs/appearance/structured-data/software-app?hl=en,How to add structured data | Examples | Guidelines | Structured data type definitions | SoftwareApplication | Extended properties for app subtypes | Troubleshooting | Get support | Resources | Tools,https://developers.google.com/search/docs/appearance/structured-data/software-app?hl=en,
